original_field,mapped_field,count,sample_files
PRIMARY CAUSE OF DEATH,PRIMARY CAUSE OF DEATH,2,"Hawkins, Ernest.txt; Thomas, Arthur.txt"
Physician Signed,Physician Signed,2,"Dyson, Allen.txt; Parker, William.txt"
Primary Cause of Death,Primary Cause of Death,2,"Dyson, Allen.txt; Wood, Sherman.txt"
STATE OF MARYLAND CERTIFICATE OF DEATH Registration Dist. No.,PLACE_OF_DEATH_Registration_Dist_No,2,"Blanks, James.txt; King, John Henry.txt"
Signed (Date),Signed (Date),2,"Jenkins, John F.txt; Joffey, Benjamin.txt"
Signed (Doctor),Signed (Doctor),2,"Marshall, William.txt; Wood, Sherman.txt"
Signed (M. D.),Signed (M. D.),2,"Joffey, Benjamin.txt; Kennard, Richard.txt"
Signed (M.D.),Signed (M.D.),2,"Jenkins, John F.txt; Jones, Paul.txt"
Signed (Physician),Signed (Physician),2,"Hall, Thomas.txt; Jacobs, Edward(1).txt"
Specify whether injury occurred in INDUSTRY,Specify whether injury occurred in INDUSTRY,2,"Chinn, Purnell.txt; Davis, William C..txt"
State File No.,State File No.,2,"Hamilton, Arthur.txt; Wall, Jesse.txt"
Street,Street,2,"Clayton, Paul.txt; Dyson, Allen.txt"
THE CAUSE OF DEATH (Duration) ds.,THE CAUSE OF DEATH (Duration) ds.,2,"Dennis, Irvin.txt; Dennis, Louis.txt"
THE CAUSE OF DEATH (Duration) mos.,THE CAUSE OF DEATH (Duration) mos.,2,"Dennis, Irvin.txt; Dennis, Louis.txt"
THE CAUSE OF DEATH (Duration) yrs.,THE CAUSE OF DEATH (Duration) yrs.,2,"Dennis, Irvin.txt; Dennis, Louis.txt"
THE CAUSE OF DEATH * was as follows: (Primary),THE CAUSE OF DEATH * was as follows: (Primary),2,"Jones, James.txt; Nichols, Caleb Henry.txt"
THE CAUSE OF DEATH*,THE CAUSE OF DEATH*,2,"Brown, Thomas.txt; Cook, Roger.txt"
THE CAUSE OF DEATH* (Duration) ds.,THE CAUSE OF DEATH* (Duration) ds.,2,"Corry, Raymond.txt; Johnson, Oscar.txt"
THE CAUSE OF DEATH* (Duration) mos.,THE CAUSE OF DEATH* (Duration) mos.,2,"Corry, Raymond.txt; Johnson, Oscar.txt"
THE CAUSE OF DEATH* (Duration) yrs.,THE CAUSE OF DEATH* (Duration) yrs.,2,"Corry, Raymond.txt; Johnson, Oscar.txt"
THE CAUSE OF DEATH* was as follows:,THE CAUSE OF DEATH* was as follows:,2,"Corry, Raymond.txt; Johnson, Oscar.txt"
THE CAUSE OF DEATH* was as follows: (Duration) ds.,THE CAUSE OF DEATH* was as follows: (Duration) ds.,2,"Booze Jr, William.txt; Richardson, Alexander.txt"
THE CAUSE OF DEATH* was as follows: (Duration) mos.,THE CAUSE OF DEATH* was as follows: (Duration) mos.,2,"Booze Jr, William.txt; Richardson, Alexander.txt"
THE CAUSE OF DEATH* was as follows: (Duration) yrs.,THE CAUSE OF DEATH* was as follows: (Duration) yrs.,2,"Booze Jr, William.txt; Richardson, Alexander.txt"
THE CAUSE OF DEATH* was as follows: Primary,THE CAUSE OF DEATH* was as follows: Primary,2,"Booze Jr, William.txt; Richardson, Alexander.txt"
THE PRINCIPAL CAUSE OF DEATH and related causes of importance were as follows: Cause 1,CAUSE_OF_DEATH_Cause1,2,"Anderson, Arthur.txt; Hall, Thomas.txt"
THE PRINCIPAL CAUSE OF DEATH and related causes of importance were as follows: Cause 2,CAUSE_OF_DEATH_Cause2,2,"Anderson, Arthur.txt; Hall, Thomas.txt"
THE PRINCIPAL CAUSE OF DEATH and related causes of importance were as follows: Cause 3,CAUSE_OF_DEATH_Cause3,2,"Anderson, Arthur.txt; Hall, Thomas.txt"
The CAUSE OF DEATH* (Duration) ds.,The CAUSE OF DEATH* (Duration) ds.,2,"Dorsey, Henry.txt; Preston, Daniel.txt"
The CAUSE OF DEATH* (Duration) mos.,The CAUSE OF DEATH* (Duration) mos.,2,"Dorsey, Henry.txt; Preston, Daniel.txt"
The CAUSE OF DEATH* (Duration) yrs.,The CAUSE OF DEATH* (Duration) yrs.,2,"Dorsey, Henry.txt; Preston, Daniel.txt"
The PRINCIPAL CAUSE OF DEATH and related causes of importance were as follows:,The PRINCIPAL CAUSE OF DEATH and related causes of importance were as follows:,2,"Chinn, Purnell.txt"
Top Left Number,Top Left Number,2,"Blanks, James.txt; Dennis, Louis.txt"
UNDERTAKER (Address),UNDERTAKER (Address),2,"Dennis, Alfred.txt; Thomas, Arthur.txt"
What last confirmed diagnosis?,What last confirmed diagnosis?,2,"Anderson, Arthur.txt; Saunders, Richard E.txt"
Where did injury occur?,Where did injury occur?,2,"Chinn, Purnell.txt; Davis, William C..txt"
Where disease contracted,Where disease contracted,2,"Mines, Charles.txt; Wood, Sherman.txt"
death is said to have occurred on the date stated above,death is said to have occurred on the date stated above,2,"Chinn, Purnell.txt; Davis, William C..txt"
to,to,2,"Barnes, Joseph.txt; Hammond, Amos.txt"
to (Day),to (Day),2,"Mines, Charles.txt; Wood, Sherman.txt"
to (Month),to (Month),2,"Mines, Charles.txt; Wood, Sherman.txt"
to (Year),to (Year),2,"Mines, Charles.txt; Wood, Sherman.txt"
(Address of Signer),(Address of Signer),1,"Dennis, Alfred.txt"
(Date Signed),(Date Signed),1,"Dennis, Alfred.txt"
(Date) (Day),(Date) (Day),1,"Nichols, Caleb Henry.txt"
(Date) (Month),(Date) (Month),1,"Nichols, Caleb Henry.txt"
(Date) (Year),(Date) (Year),1,"Nichols, Caleb Henry.txt"
(Date) - Day,(Date) - Day,1,"Murray, Harvey E.txt"
(Date) - Month,(Date) - Month,1,"Murray, Harvey E.txt"
(Date) - Year,(Date) - Year,1,"Murray, Harvey E.txt"
(Duration) (ds),(Duration) (ds),1,"Dennis, Alfred.txt"
(Duration) (mos),(Duration) (mos),1,"Dennis, Alfred.txt"
(Duration) (yrs),(Duration) (yrs),1,"Dennis, Alfred.txt"
(Duration) - ds.,(Duration) - ds.,1,"Murray, Harvey E.txt"
(Duration) - mos.,(Duration) - mos.,1,"Murray, Harvey E.txt"
(Duration) - yrs.,(Duration) - yrs.,1,"Murray, Harvey E.txt"
"(If death occurred in a hospital or institution, give its NAME instead of street and number.)","(If death occurred in a hospital or institution, give its NAME instead of street and number.)",1,"Dennis, Irvin.txt"
(If death occurred in hospital or institution,(If death occurred in hospital or institution,1,"Campbell, Francis.txt"
(No.,(No.,1,"Robinson, Paul.txt"
(No. House of Reformation St.; Ward),(No. House of Reformation St.; Ward),1,"Dickerson, Ira.txt"
(Signed) Address,(Signed) Address,1,"Tilghman, John W.txt"
(Signed) Apr (Day),(Signed) Apr (Day),1,"Robinson, Paul.txt"
(Signed) Apr (Year),(Signed) Apr (Year),1,"Robinson, Paul.txt"
(Signed) Apr 29,(Signed) Apr 29,1,"Corry, Raymond.txt"
(Signed) Feby 27,(Signed) Feby 27,1,"Dorsey, Henry.txt"
(Signed) M. D.,(Signed) M. D.,1,"Dorsey, Henry.txt"
(Signed) M. D. (Address),(Signed) M. D. (Address),1,"Dixon, Lee.txt"
(Signed) M. D. (Date),(Signed) M. D. (Date),1,"Dixon, Lee.txt"
(Signed) M. D. (Name),(Signed) M. D. (Name),1,"Evans, James.txt"
(Signed) M. D. (Title),(Signed) M. D. (Title),1,"Evans, James.txt"
(Signed) M.D.,(Signed) M.D.,1,"Tilghman, John W.txt"
(Specify city or town,(Specify city or town,1,"Chinn, Purnell.txt"
(State or country) (Father),(State or country) (Father),1,"Davis, William C..txt"
(State or country) (Mother),(State or country) (Mother),1,"Davis, William C..txt"
(Usual place of abode),(Usual place of abode),1,"Chinn, Purnell.txt"
(a) Residence: City or Town (Usual place of abode),(a) Residence: City or Town (Usual place of abode),1,"Anderson, Arthur.txt"
(a) Residence: If nonresident give city or town and State,(a) Residence: If nonresident give city or town and State,1,"Anderson, Arthur.txt"
(a) Residence: St.,FULL_NAME_St,1,"Anderson, Arthur.txt"
(a) Residence: Ward,(a) Residence: Ward,1,"Anderson, Arthur.txt"
(a) Trade,(a) Trade,1,"Nichols, Caleb Henry.txt"
(b) General nature of industry business,(b) General nature of industry business,1,"Nichols, Caleb Henry.txt"
*State the Disease Causing Death,*State the Disease Causing Death,1,"Booze Jr, William.txt"
", Balto. Requesting V. S. No. 1",", Balto. Requesting V. S. No. 1",1,"Kennard, Richard.txt"
1 County,1 County,1,"Jacobs, Edward.txt"
1 Institution Name,1 Institution Name,1,"Jacobs, Edward.txt"
1 PLACE OF DEATH (No. St.; Ward),1 PLACE OF DEATH (No. St.; Ward),1,"Dennis, Louis.txt"
1 PLACE OF DEATH (No. Street),1 PLACE OF DEATH (No. Street),1,"Blanks, James.txt"
1 PLACE OF DEATH - No.,1 PLACE OF DEATH - No.,1,"White, Matthew.txt"
1 PLACE OF DEATH - No. (House of Reformation/Ward),1 PLACE OF DEATH - No. (House of Reformation/Ward),1,"Hill Jr, Samuel.txt"
1 PLACE OF DEATH - No. Street,1 PLACE OF DEATH - No. Street,1,"Hamilton, Arthur.txt"
1 PLACE OF DEATH - Ward/Institution Name,1 PLACE OF DEATH - Ward/Institution Name,1,"Russell, Coley.txt"
"1 PLACE OF DEATH County,Charles Co.",PLACE_OF_DEATH_County,1,"Campbell, Francis.txt"
1 PLACE OF DEATH Local Registered No.,1 PLACE OF DEATH Local Registered No.,1,"Johnson, Oscar.txt"
1 PLACE OF DEATH St,1 PLACE OF DEATH St,1,"Bacon, John Henry.txt"
1 PLACE OF DEATH St; Ward),1 PLACE OF DEATH St; Ward),1,"Dorsey, Henry.txt"
"1 PLACE OF DEATH Village or City,Cheltenham",PLACE_OF_DEATH_Village_or_City,1,"Campbell, Francis.txt"
1 Village or City,1 Village or City,1,"Jacobs, Edward.txt"
1. County,1. County,1,"Hall, Thomas.txt"
1. How long in U.S. if of foreign birth? (ds),1. How long in U.S. if of foreign birth? (ds),1,"Hall, Thomas.txt"
1. How long in U.S. if of foreign birth? (mos),1. How long in U.S. if of foreign birth? (mos),1,"Hall, Thomas.txt"
1. How long in U.S. if of foreign birth? (yrs),1. How long in U.S. if of foreign birth? (yrs),1,"Hall, Thomas.txt"
1. Length of residence in city or town where death occurred (ds),1. Length of residence in city or town where death occurred (ds),1,"Hall, Thomas.txt"
1. Length of residence in city or town where death occurred (mos),1. Length of residence in city or town where death occurred (mos),1,"Hall, Thomas.txt"
1. Length of residence in city or town where death occurred (yrs),1. Length of residence in city or town where death occurred (yrs),1,"Hall, Thomas.txt"
1. PLACE OF DEATH - Hospital/Institution Name,1. PLACE OF DEATH - Hospital/Institution Name,1,"Marshall, William.txt"
1. PLACE OF DEATH - How long in U.S. if of foreign birth - ds,1. PLACE OF DEATH - How long in U.S. if of foreign birth - ds,1,"Clayton, Paul.txt"
1. PLACE OF DEATH - How long in U.S. if of foreign birth - mos,1. PLACE OF DEATH - How long in U.S. if of foreign birth - mos,1,"Clayton, Paul.txt"
1. PLACE OF DEATH - How long in U.S. if of foreign birth - yrs,1. PLACE OF DEATH - How long in U.S. if of foreign birth - yrs,1,"Clayton, Paul.txt"
1. PLACE OF DEATH - How long in U.S. if of foreign birth? - ds,1. PLACE OF DEATH - How long in U.S. if of foreign birth? - ds,1,"Tyler, James.txt"
1. PLACE OF DEATH - How long in U.S. if of foreign birth? - mos,1. PLACE OF DEATH - How long in U.S. if of foreign birth? - mos,1,"Tyler, James.txt"
1. PLACE OF DEATH - How long in U.S. if of foreign birth? - yrs,1. PLACE OF DEATH - How long in U.S. if of foreign birth? - yrs,1,"Tyler, James.txt"
1. PLACE OF DEATH - If death occurred in a hospital or institution,1. PLACE OF DEATH - If death occurred in a hospital or institution,1,"Tyler, James.txt"
1. PLACE OF DEATH - No.,1. PLACE OF DEATH - No.,1,"Tyler, James.txt"
1. PLACE OF DEATH - No. (If death occurred in a hospital or institution,1. PLACE OF DEATH - No. (If death occurred in a hospital or institution,1,"Hunter, George W.txt"
1. PLACE OF DEATH - No. (Village or City),1. PLACE OF DEATH - No. (Village or City),1,"Marshall, William.txt"
1. PLACE OF DEATH - Registration Dist. No.,PLACE_OF_DEATH_Registration_Dist_No,1,"Tyler, James.txt"
1. PLACE OF DEATH How long in U.S. if of foreign birth? ds,1. PLACE OF DEATH How long in U.S. if of foreign birth? ds,1,"Saunders, Richard E.txt"
1. PLACE OF DEATH How long in U.S. if of foreign birth? mos,1. PLACE OF DEATH How long in U.S. if of foreign birth? mos,1,"Saunders, Richard E.txt"
1. PLACE OF DEATH How long in U.S. if of foreign birth? yrs,1. PLACE OF DEATH How long in U.S. if of foreign birth? yrs,1,"Saunders, Richard E.txt"
1. PLACE OF DEATH If U. S. Veteran,1. PLACE OF DEATH If U. S. Veteran,1,"Ames Jr, Fred .txt"
1. PLACE OF DEATH Length of residence in city or town where death occurred,1. PLACE OF DEATH Length of residence in city or town where death occurred,1,"Ennis, Emanuel.txt"
1. PLACE OF DEATH Length of residence in city or town where death occurred ds,1. PLACE OF DEATH Length of residence in city or town where death occurred ds,1,"Saunders, Richard E.txt"
1. PLACE OF DEATH Length of residence in city or town where death occurred ds.,1. PLACE OF DEATH Length of residence in city or town where death occurred ds.,1,"Ames Jr, Fred .txt"
1. PLACE OF DEATH Length of residence in city or town where death occurred mos,1. PLACE OF DEATH Length of residence in city or town where death occurred mos,1,"Saunders, Richard E.txt"
1. PLACE OF DEATH Length of residence in city or town where death occurred mos.,1. PLACE OF DEATH Length of residence in city or town where death occurred mos.,1,"Ames Jr, Fred .txt"
1. PLACE OF DEATH Length of residence in city or town where death occurred yrs,1. PLACE OF DEATH Length of residence in city or town where death occurred yrs,1,"Saunders, Richard E.txt"
1. PLACE OF DEATH Length of residence in city or town where death occurred yrs.,1. PLACE OF DEATH Length of residence in city or town where death occurred yrs.,1,"Ames Jr, Fred .txt"
1. PLACE OF DEATH Length of residence in city or town where death occurred... ds.,1. PLACE OF DEATH Length of residence in city or town where death occurred... ds.,1,"Williams, Frank.txt"
1. PLACE OF DEATH Length of residence in city or town where death occurred... mos.,1. PLACE OF DEATH Length of residence in city or town where death occurred... mos.,1,"Williams, Frank.txt"
1. PLACE OF DEATH Length of residence in city or town where death occurred... yrs.,1. PLACE OF DEATH Length of residence in city or town where death occurred... yrs.,1,"Williams, Frank.txt"
1. PLACE OF DEATH St.,1. PLACE OF DEATH St.,1,"Ames Jr, Fred .txt"
1. Village or City,1. Village or City,1,"Hall, Thomas.txt"
"10 NAME OF FATHER,Unknown",FATHER__NAME,1,"Campbell, Francis.txt"
10 Name of Father,FATHER__NAME,1,"Jacobs, Edward.txt"
10. NAME OF FATHER,10. NAME OF FATHER,1,"Marshall, William.txt"
10. OCCUPATION Date deceased last worked at this occupation (month end year),10. OCCUPATION Date deceased last worked at this occupation (month end year),1,"Williams, Frank.txt"
"11 BIRTHPLACE OF FATHER (State or country),Unknown","11 BIRTHPLACE OF FATHER (State or country),Unknown",1,"Campbell, Francis.txt"
11 BIRTHPLACE OF FATHER - (State or country),11 BIRTHPLACE OF FATHER - (State or country),1,"Landman, Milton.txt"
11 Birthplace of Father (State or country),11 Birthplace of Father (State or country),1,"Jacobs, Edward.txt"
11. BIRTHPLACE OF FATHER (State or country),11. BIRTHPLACE OF FATHER (State or country),1,"Marshall, William.txt"
11. OCCUPATION Total time (years) spent in this occupation,11. OCCUPATION Total time (years) spent in this occupation,1,"Williams, Frank.txt"
"12 MAIDEN NAME OF MOTHER,Julia Gough",MOTHER__MAIDEN_NAME,1,"Campbell, Francis.txt"
12 Maiden Name of Mother,MOTHER__MAIDEN_NAME,1,"Jacobs, Edward.txt"
12. BIRTHPLACE (city or town) - (State or country),BIRTHPLACE__(city_or_town),1,"Clayton, Paul.txt"
12. FATHER BIRTHPLACE (State or country),12. FATHER BIRTHPLACE (State or country),1,"Williams, Frank.txt"
12. FATHER BIRTHPLACE (city or town),12. FATHER BIRTHPLACE (city or town),1,"Williams, Frank.txt"
12. MAIDEN NAME OF MOTHER,12. MAIDEN NAME OF MOTHER,1,"Marshall, William.txt"
13 BIRTHPLACE OF MOTHER (State or Country),13 BIRTHPLACE OF MOTHER (State or Country),1,"Booze Jr, William.txt"
"13 BIRTHPLACE OF MOTHER (State or country),Md","13 BIRTHPLACE OF MOTHER (State or country),Md",1,"Campbell, Francis.txt"
13 BIRTHPLACE OF MOTHER - (State or country),13 BIRTHPLACE OF MOTHER - (State or country),1,"Landman, Milton.txt"
13 Birthplace of Mother (State or country),13 Birthplace of Mother (State or country),1,"Jacobs, Edward.txt"
13. BIRTHPLACE OF MOTHER (State or country),13. BIRTHPLACE OF MOTHER (State or country),1,"Marshall, William.txt"
13. FATHER - NAME,13. FATHER - NAME,1,"Clayton, Paul.txt"
13. NAME,13. NAME,1,"Saunders, Richard E.txt"
"14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Address),Cheltenham","14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Address),Cheltenham",1,"Campbell, Francis.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Informant Address),INFORMANT,1,"Tilghman, John W.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Informant) Address,INFORMANT,1,"Martin, Mitchell.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Informant) Name,INFORMANT,1,"Martin, Mitchell.txt"
"14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE (Informant),B.P. Pyles, Dept.",INFORMANT,1,"Campbell, Francis.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE Informant Address,INFORMANT,1,"Brown, Thomas.txt"
14. BIRTHPLACE (State or country),14. BIRTHPLACE (State or country),1,"Saunders, Richard E.txt"
14. BIRTHPLACE (State or country) (Father),14. BIRTHPLACE (State or country) (Father),1,"Hall, Thomas.txt"
14. BIRTHPLACE (city or town),14. BIRTHPLACE (city or town),1,"Saunders, Richard E.txt"
14. FATHER - BIRTHPLACE (city or town) - (State or country),14. FATHER - BIRTHPLACE (city or town) - (State or country),1,"Clayton, Paul.txt"
14. INFORMANT,14. INFORMANT,1,"Marshall, William.txt"
14. INFORMANT ADDRESS,14. INFORMANT ADDRESS,1,"Marshall, William.txt"
15 191,15 191,1,"Richardson, Alexander.txt"
15 Address (Local Registrar),15 Address (Local Registrar),1,"Carter, William Arthur.txt"
15 FILED (Date),15 FILED (Date),1,"Wall, Jesse.txt"
15 FILED (Registrar),15 FILED (Registrar),1,"Wall, Jesse.txt"
"15 Filed (Date),May 28-1927","15 Filed (Date),May 28-1927",1,"Campbell, Francis.txt"
15 Filed (Registrar's Signature),15 Filed (Registrar's Signature),1,"Dickerson, Ira.txt"
15 Filed (Registrar's Title),15 Filed (Registrar's Title),1,"Dickerson, Ira.txt"
"15 Filed (Registrar),Julian M. Smith, Local Registrar","15 Filed (Registrar),Julian M. Smith, Local Registrar",1,"Campbell, Francis.txt"
15 Filed - (Date),15 Filed - (Date),1,"Landman, Milton.txt"
15 Filed - (Registrar),15 Filed - (Registrar),1,"Landman, Milton.txt"
15 Filed - Date,15 Filed - Date,1,"Russell, Coley.txt"
15 Filed - REGISTRAR,15 Filed - REGISTRAR,1,"Hamilton, Arthur.txt"
15 Filed - Registrar,15 Filed - Registrar,1,"Russell, Coley.txt"
15 Filed - Registrar Address,15 Filed - Registrar Address,1,"Russell, Coley.txt"
15 Filed Apr (Day),15 Filed Apr (Day),1,"Robinson, Paul.txt"
15 Filed Apr (Year),15 Filed Apr (Year),1,"Robinson, Paul.txt"
15 Filed Day,15 Filed Day,1,"Martin, Mitchell.txt"
15 Filed Month,15 Filed Month,1,"Martin, Mitchell.txt"
15 Filed Registrar No.,15 Filed Registrar No.,1,"Brown, Thomas.txt"
15 Filed Registrar Title,15 Filed Registrar Title,1,"Brown, Thomas.txt"
15 Filed Registrar Type,15 Filed Registrar Type,1,"Dennis, Louis.txt"
15 Filed Year,15 Filed Year,1,"Martin, Mitchell.txt"
15 LOCAL,15 LOCAL,1,"Pratt, Louis.txt"
15 Local REGISTRAR,15 Local REGISTRAR,1,"Thomas, Joe.txt"
15 Local Registrar (Signature),15 Local Registrar (Signature),1,"Evans, James.txt"
15 REGISTRAR No.,15 REGISTRAR No.,1,"Johnson, Oscar.txt"
15 Registrar ADDRESS,15 Registrar ADDRESS,1,"Robinson, Paul.txt"
15 Registrar Address,15 Registrar Address,1,"Martin, Mitchell.txt"
15 Registrar Signature,15 Registrar Signature,1,"Martin, Mitchell.txt"
15. Filed Date,15. Filed Date,1,"Marshall, William.txt"
15. MAIDEN NAME,15. MAIDEN NAME,1,"Saunders, Richard E.txt"
15. MOTHER - MAIDEN NAME,15. MOTHER - MAIDEN NAME,1,"Clayton, Paul.txt"
15. Registrar,15. Registrar,1,"Marshall, William.txt"
16 DATE OF DEATH - (Day),DATE_OF_DEATH_Day,1,"Landman, Milton.txt"
16 DATE OF DEATH - (Month),DATE_OF_DEATH_Month,1,"Landman, Milton.txt"
16 DATE OF DEATH - (Year),DATE_OF_DEATH_Year,1,"Landman, Milton.txt"
16 Date of Death (Day),DATE_OF_DEATH_Day,1,"Jacobs, Edward.txt"
16 Date of Death (Month),DATE_OF_DEATH_Month,1,"Jacobs, Edward.txt"
16 Date of Death (Year),DATE_OF_DEATH_Year,1,"Jacobs, Edward.txt"
16. BIRTHPLACE (State or country),16. BIRTHPLACE (State or country),1,"Saunders, Richard E.txt"
16. BIRTHPLACE (State or country) (Mother),16. BIRTHPLACE (State or country) (Mother),1,"Hall, Thomas.txt"
16. BIRTHPLACE (city or town),16. BIRTHPLACE (city or town),1,"Saunders, Richard E.txt"
16. DATE OF DEATH - Day,16. DATE OF DEATH - Day,1,"Marshall, William.txt"
16. DATE OF DEATH - Month,16. DATE OF DEATH - Month,1,"Marshall, William.txt"
16. DATE OF DEATH - Year,16. DATE OF DEATH - Year,1,"Marshall, William.txt"
16. MOTHER - BIRTHPLACE (city or town) - (State or country),16. MOTHER - BIRTHPLACE (city or town) - (State or country),1,"Clayton, Paul.txt"
17 (Address) Signed,17 (Address) Signed,1,"Ashton, Ernest.txt"
17 (Signed) (Address),17 (Signed) (Address),1,"Thomas, Joe.txt"
17 (Signed) Date,17 (Signed) Date,1,"Thomas, Joe.txt"
17 (Signed) Physician,17 (Signed) Physician,1,"Pratt, Louis.txt"
17 *State the Disease Causing Death,17 *State the Disease Causing Death,1,"Ashton, Ernest.txt"
17 Address (of Physician),17 Address (of Physician),1,"Pratt, Louis.txt"
17 Address Signed,17 Address Signed,1,"Russell, Coley.txt"
17 Address of Signer,17 Address of Signer,1,"Blanks, James.txt"
17 Attended Deceased From (Day),17 Attended Deceased From (Day),1,"Jacobs, Edward.txt"
17 Attended Deceased From (Month),17 Attended Deceased From (Month),1,"Jacobs, Edward.txt"
17 Attended Deceased From (Year),17 Attended Deceased From (Year),1,"Jacobs, Edward.txt"
17 Attended Deceased To (Day),17 Attended Deceased To (Day),1,"Jacobs, Edward.txt"
17 Attended Deceased To (Month),17 Attended Deceased To (Month),1,"Jacobs, Edward.txt"
17 Attended Deceased To (Year),17 Attended Deceased To (Year),1,"Jacobs, Edward.txt"
17 Attended deceased from,17 Attended deceased from,1,"Hill Jr, Samuel.txt"
17 Attended deceased from Day,17 Attended deceased from Day,1,"Parker, William.txt"
17 Attended deceased from Month,17 Attended deceased from Month,1,"Parker, William.txt"
17 Attended deceased from Year,17 Attended deceased from Year,1,"Parker, William.txt"
17 Attended deceased to,17 Attended deceased to,1,"Hill Jr, Samuel.txt"
17 Attended deceased to Day,17 Attended deceased to Day,1,"Parker, William.txt"
17 Attended deceased to Month,17 Attended deceased to Month,1,"Parker, William.txt"
17 Attended deceased to Year,17 Attended deceased to Year,1,"Parker, William.txt"
17 Cause of Death,17 Cause of Death,1,"Jacobs, Edward.txt"
17 Cause of Death Duration (Days),17 Cause of Death Duration (Days),1,"Jacobs, Edward.txt"
17 Cause of Death Duration (Months),17 Cause of Death Duration (Months),1,"Jacobs, Edward.txt"
17 Cause of Death Duration (Years),17 Cause of Death Duration (Years),1,"Jacobs, Edward.txt"
17 Contributory (Secondary) (Duration) ds,17 Contributory (Secondary) (Duration) ds,1,"Blanks, James.txt"
17 Contributory (Secondary) (Duration) mos,17 Contributory (Secondary) (Duration) mos,1,"Blanks, James.txt"
17 Contributory (Secondary) (Duration) yrs,17 Contributory (Secondary) (Duration) yrs,1,"Blanks, James.txt"
17 Contributory Cause,17 Contributory Cause,1,"Jacobs, Edward.txt"
17 Contributory Cause Duration (Days),17 Contributory Cause Duration (Days),1,"Jacobs, Edward.txt"
17 Contributory Cause Duration (Months),17 Contributory Cause Duration (Months),1,"Jacobs, Edward.txt"
17 Contributory Cause Duration (Years),17 Contributory Cause Duration (Years),1,"Jacobs, Edward.txt"
17 Contributory Secondary (Duration) ds,17 Contributory Secondary (Duration) ds,1,"Ashton, Ernest.txt"
17 Contributory Secondary (Duration) mos,17 Contributory Secondary (Duration) mos,1,"Ashton, Ernest.txt"
17 Contributory Secondary (Duration) yrs,17 Contributory Secondary (Duration) yrs,1,"Ashton, Ernest.txt"
17 Contributory Secondary Duration Days,17 Contributory Secondary Duration Days,1,"Russell, Coley.txt"
17 Contributory Secondary Duration Months,17 Contributory Secondary Duration Months,1,"Russell, Coley.txt"
17 Contributory Secondary Duration Years,17 Contributory Secondary Duration Years,1,"Russell, Coley.txt"
17 Contributory Secondary Duration ds,17 Contributory Secondary Duration ds,1,"Martin, Mitchell.txt"
17 Contributory Secondary Duration mos,17 Contributory Secondary Duration mos,1,"Martin, Mitchell.txt"
17 Contributory Secondary Duration yrs,17 Contributory Secondary Duration yrs,1,"Martin, Mitchell.txt"
17 Date of Signature,17 Date of Signature,1,"Blanks, James.txt"
17 Death Occurred At (Time),17 Death Occurred At (Time),1,"Jacobs, Edward.txt"
17 Death occurred at,17 Death occurred at,1,"Hill Jr, Samuel.txt"
17 I HEREBY CERTIFY - Attended deceased from Month,17 I HEREBY CERTIFY - Attended deceased from Month,1,"Russell, Coley.txt"
17 I HEREBY CERTIFY - Attended deceased from Year,17 I HEREBY CERTIFY - Attended deceased from Year,1,"Russell, Coley.txt"
17 I HEREBY CERTIFY - Attended deceased to Day,17 I HEREBY CERTIFY - Attended deceased to Day,1,"Russell, Coley.txt"
17 I HEREBY CERTIFY - Attended deceased to Month,17 I HEREBY CERTIFY - Attended deceased to Month,1,"Russell, Coley.txt"
17 I HEREBY CERTIFY - Attended deceased to Year,17 I HEREBY CERTIFY - Attended deceased to Year,1,"Russell, Coley.txt"
17 I HEREBY CERTIFY - Death occurred at,17 I HEREBY CERTIFY - Death occurred at,1,"Russell, Coley.txt"
17 I HEREBY CERTIFY - Last saw him alive on Day,17 I HEREBY CERTIFY - Last saw him alive on Day,1,"Russell, Coley.txt"
17 I HEREBY CERTIFY - Last saw him alive on Month,17 I HEREBY CERTIFY - Last saw him alive on Month,1,"Russell, Coley.txt"
17 I HEREBY CERTIFY - Last saw him alive on Year,17 I HEREBY CERTIFY - Last saw him alive on Year,1,"Russell, Coley.txt"
"17 I HEREBY CERTIFY, That I attended deceased from","17 I HEREBY CERTIFY, That I attended deceased from",1,"Brown, Thomas.txt"
"17 I HEREBY CERTIFY, That I attended deceased from Date","17 I HEREBY CERTIFY, That I attended deceased from Date",1,"Johnson, Oscar.txt"
"17 I HEREBY CERTIFY, That I attended deceased to","17 I HEREBY CERTIFY, That I attended deceased to",1,"Brown, Thomas.txt"
"17 I HEREBY CERTIFY, That I attended the deceased from","17 I HEREBY CERTIFY, That I attended the deceased from",1,"Dennis, Irvin.txt"
"17 I HEREBY CERTIFY, That I attended the deceased from (Day)","17 I HEREBY CERTIFY, That I attended the deceased from (Day)",1,"Tilghman, John W.txt"
